stat,stat_label,rank,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100s,50s,Ducks,4s,6s,Balls,Overs,Mdns,Wkts,BBI,Econ,4w,5w,Team,Opposition,Ground,Match Date,Match ID,10w,Series
most_runs_conceded,Most Runs Conceded (innings),2,T Panyangara,,,,,86,,,,,,,,,,,10.0,0.0,1.0,,8.6,,,Zimbabwe,v England,Birmingham,10 Sep 2004,2168.0,,
most_runs_conceded,Most Runs Conceded (innings),3,SL Malinga,,,,,85,,,,,,,,,,,10.0,0.0,1.0,,8.5,,,Sri Lanka,v New Zealand,Johannesburg,27 Sep 2009,2899.0,,
most_runs_conceded,Most Runs Conceded (innings),4,LL Tsotsobe,,,,,83,,,,,,,,,,,10.0,0.0,2.0,,8.3,,,South Africa,v India,Cardiff,6 Jun 2013,3363.0,,
most_runs_conceded,Most Runs Conceded (innings),5,Haris Rauf,,,,,83,,,,,,,,,,,10.0,0.0,2.0,,8.3,,,Pakistan,v New Zealand,Karachi,19 Feb 2025,4843.0,,
most_runs_conceded,Most Runs Conceded (innings),6,SE Bond,,,,,82,,,,,,,,,,,9.0,0.0,0.0,,9.11,,,New Zealand,v Sri Lanka,Johannesburg,27 Sep 2009,2899.0,,
most_runs_conceded,Most Runs Conceded (innings),7,JT Ball,,,,,82,,,,,,,,,,,10.0,1.0,1.0,,8.2,,,England,v Bangladesh,The Oval,1 Jun 2017,3875.0,,
most_runs_conceded,Most Runs Conceded (innings),8,JC Archer,,,,,82,,,,,,,,,,,10.0,0.0,1.0,,8.2,,,England,v Australia,Lahore,22 Feb 2025,4846.0,,
most_runs_conceded,Most Runs Conceded (innings),9,RK Kleinveldt,,,,,81,,,,,,,,,,,10.0,0.0,0.0,,8.1,,,South Africa,v India,Cardiff,6 Jun 2013,3363.0,,
most_runs_conceded,Most Runs Conceded (innings),10,RMS Eranga,,,,,80,,,,,,,,,,,10.0,0.0,2.0,,8.0,,,Sri Lanka,v England,The Oval,13 Jun 2013,3370.0,,
most_runs_conceded,Most Runs Conceded (innings),11,WD Parnell,,,,,79,,,,,,,,,,,10.0,0.0,3.0,,7.9,,,South Africa,v Sri Lanka,Centurion,22 Sep 2009,2893.0,,
