player,inns,overs,mdns,runs,wkts,bbi,bbm,5,10,team,avg,cycle
HE van der Dussen,0,0.0,0,0,0,-,-,0,0,SA,,2019-2021
K Verreynne,0,0.0,0,0,0,-,-,0,0,SA,,2019-2021
DA Warner,0,0.0,0,0,0,-,-,0,0,AUS,,2019-2021
BJ Watling,0,0.0,0,0,0,-,-,0,0,NZ,,2019-2021
WA Young,0,0.0,0,0,0,-,-,0,0,NZ,,2019-2021
Zubayr Hamza,0,0.0,0,0,0,-,-,0,0,SA,,2019-2021
R Ashwin,26,549.4,105,1444,71,7/145,9/207,4,0,INDIA,20.34,2019-2021
PJ Cummins,28,555.3,158,1472,70,5/28,7/69,1,0,AUS,21.03,2019-2021
SCJ Broad,32,499.3,132,1386,69,6/31,10/67,2,1,ENG,20.09,2019-2021
NM Lyon,27,630.5,131,1757,56,6/49,10/118,4,1,AUS,31.38,2019-2021
TG Southee,22,431.3,117,1166,56,5/32,9/110,3,0,NZ,20.82,2019-2021
JR Hazlewood,21,385.2,108,986,48,5/8,9/115,3,0,AUS,20.54,2019-2021
A Nortje,21,363.4,64,1321,47,6/56,8/120,3,0,SA,28.11,2019-2021
MA Starc,20,340.3,71,1080,44,6/66,9/97,2,0,AUS,24.55,2019-2021
KA Jamieson,14,246.2,92,539,43,6/48,11/117,5,1,NZ,12.53,2019-2021
JC Archer,21,352.5,71,1095,40,6/45,8/85,3,0,ENG,27.38,2019-2021
MJ Leach,18,373.3,60,1182,40,5/122,6/177,1,0,ENG,29.55,2019-2021
Mohammed Shami,20,276.2,67,819,40,5/35,7/58,1,0,INDIA,20.48,2019-2021
JM Anderson,20,331.5,109,761,39,6/40,7/63,3,0,ENG,19.51,2019-2021
I Sharma,22,249.2,66,694,39,5/22,9/78,3,0,INDIA,17.79,2019-2021
K Rabada,17,325.5,70,1013,37,5/34,7/171,1,0,SA,27.38,2019-2021
Shaheen Shah Afridi,18,386.4,73,1175,36,5/77,6/128,1,0,PAK,32.64,2019-2021
KA Maharaj,18,467.4,92,1493,35,5/36,7/83,2,0,SA,42.66,2019-2021
JJ Bumrah,19,313.1,77,854,34,6/27,7/58,2,0,INDIA,25.12,2019-2021
DM Bess,19,385.2,81,1102,33,5/30,8/130,2,0,ENG,33.39,2019-2021
JO Holder,19,376.2,105,900,31,6/42,7/91,3,0,WI,29.03,2019-2021
L Embuldeniya,12,366.3,52,1229,30,7/137,10/210,1,1,SL,40.97,2019-2021
ST Gabriel,22,346.3,62,1186,30,5/75,9/137,1,0,WI,39.53,2019-2021
CR Woakes,19,259.0,56,764,30,5/50,6/107,1,0,ENG,25.47,2019-2021
UT Yadav,14,160.2,27,538,29,5/53,8/82,1,0,INDIA,18.55,2019-2021
AR Patel,6,127.4,27,286,27,6/38,11/70,4,1,INDIA,10.59,2019-2021
Taijul Islam,10,341.5,71,976,23,5/72,8/144,1,0,BDESH,42.43,2019-2021
RRS Cornwall,13,357.5,68,1012,22,5/74,9/179,1,0,WI,46.0,2019-2021
RAS Lakmal,12,207.2,67,511,20,5/47,6/156,1,0,SL,25.55,2019-2021
Naseem Shah,13,224.4,33,849,20,5/31,5/87,1,0,PAK,42.45,2019-2021
MVT Fernando,13,231.3,32,816,19,5/101,5/124,1,0,SL,42.95,2019-2021
RL Chase,12,227.0,36,800,18,5/172,6/190,1,0,WI,44.44,2019-2021
L Ngidi,11,137.5,31,453,17,5/19,5/50,1,0,SA,26.65,2019-2021
MA Wood,9,147.3,27,427,17,5/46,9/100,1,0,ENG,25.12,2019-2021
Mohammed Siraj,10,160.2,39,452,16,5/73,6/150,1,0,INDIA,28.25,2019-2021
JE Root,22,160.1,32,514,16,5/8,5/33,1,0,ENG,32.12,2019-2021
Hasan Ali,4,61.4,10,236,12,5/54,10/114,2,1,PAK,19.67,2019-2021
P Jayawickrama,2,64.0,17,178,11,6/92,11/178,2,1,SL,16.18,2019-2021
GF Linde,5,78.5,17,252,9,5/64,5/68,1,0,SA,28.0,2019-2021
AY Patel,6,92.0,15,267,9,5/89,6/163,1,0,NZ,29.67,2019-2021
Nauman Ali,4,79.3,26,172,8,5/35,7/73,1,0,PAK,21.5,2019-2021
MR Marsh,2,29.2,5,86,7,5/46,7/86,1,0,AUS,12.29,2019-2021
A Dananjaya,2,62.0,7,164,6,5/80,6/164,1,0,SL,27.33,2019-2021
BE Hendricks,2,38.3,5,175,6,5/64,6/175,1,0,SA,29.17,2019-2021
TA Boult,20,370.3,80,1082,39,4/28,6/117,0,0,NZ,27.74,2019-2021
KAJ Roach,20,386.2,92,1056,39,4/52,7/97,0,0,WI,27.08,2019-2021
N Wagner,16,312.3,69,804,35,4/66,7/133,0,0,NZ,22.97,2019-2021
BA Stokes,24,271.3,54,893,34,4/49,6/88,0,0,ENG,26.26,2019-2021
Yasir Shah,16,384.4,43,1415,32,4/58,8/165,0,0,PAK,44.22,2019-2021
RA Jadeja,21,291.3,69,848,29,4/62,6/211,0,0,INDIA,29.24,2019-2021
SM Curran,17,208.1,48,652,20,4/58,5/109,0,0,ENG,32.6,2019-2021
Mohammad Abbas,13,283.4,92,671,18,4/55,5/88,0,0,PAK,37.28,2019-2021
Abu Jayed,7,154.0,29,546,15,4/98,6/130,0,0,BDESH,36.4,2019-2021
Mehidy Hasan Miraz,8,235.0,38,731,15,4/58,8/171,0,0,BDESH,48.73,2019-2021
AS Joseph,12,193.0,34,678,13,3/109,3/97,0,0,WI,52.15,2019-2021
PWA Mulder,10,92.0,23,283,13,3/1,5/108,0,0,SA,21.77,2019-2021
CBRLS Kumara,8,155.1,19,608,12,4/49,6/188,0,0,SL,50.67,2019-2021
MM Ali,4,103.0,14,398,11,4/98,8/226,0,0,ENG,36.18,2019-2021
C de Grandhomme,13,185.0,42,436,11,3/78,3/121,0,0,NZ,39.64,2019-2021
JL Pattinson,8,114.0,26,302,11,3/34,6/69,0,0,AUS,27.45,2019-2021
KR Mayers,10,76.0,27,167,10,3/24,6/52,0,0,WI,16.7,2019-2021
VD Philander,10,161.5,49,368,10,4/16,4/51,0,0,SA,36.8,2019-2021
L Sipamla,4,39.5,5,167,10,4/76,6/100,0,0,SA,16.7,2019-2021
JA Warrican,4,95.2,14,285,10,4/133,7/190,0,0,WI,28.5,2019-2021
PVD Chameera,5,93.1,9,311,8,3/69,5/143,0,0,SL,38.88,2019-2021
RTM Mendis,4,85.0,10,285,8,4/103,6/189,0,0,SL,35.62,2019-2021
S Nadeem,4,76.2,11,273,8,2/18,4/40,0,0,INDIA,34.12,2019-2021
MDK Perera,8,182.1,14,584,8,4/109,4/143,0,0,SL,73.0,2019-2021
WER Somerville,6,119.2,20,360,8,3/83,4/156,0,0,NZ,45.0,2019-2021
Taskin Ahmed,3,68.2,13,265,8,4/127,5/153,0,0,BDESH,33.12,2019-2021
D Pretorius,6,80.0,22,252,7,2/26,3/82,0,0,SA,36.0,2019-2021
PM Siddle,6,97.0,21,295,7,2/52,3/102,0,0,AUS,42.14,2019-2021
SN Thakur,2,43.0,8,155,7,4/61,7/155,0,0,INDIA,22.14,2019-2021
DM de Silva,13,149.0,20,472,6,3/25,3/45,0,0,SL,78.67,2019-2021
Ebadat Hossain,4,98.0,15,402,6,3/91,3/91,0,0,BDESH,67.0,2019-2021
Haris Sohail,7,41.0,3,138,6,2/11,2/11,0,0,PAK,23.0,2019-2021
Nayeem Hasan,4,90.2,13,267,6,3/34,3/108,0,0,BDESH,44.5,2019-2021
Washington Sundar,7,87.4,10,299,6,3/89,4/169,0,0,INDIA,49.83,2019-2021
KC Brathwaite,13,56.5,2,177,5,3/25,3/32,0,0,WI,35.4,2019-2021
JNT Seales,3,51.0,13,153,5,3/75,3/75,0,0,WI,30.6,2019-2021
PWH de Silva,7,112.2,8,403,4,4/171,4/171,0,0,SL,100.75,2019-2021
Faheem Ashraf,7,83.0,23,241,4,2/106,2/106,0,0,PAK,60.25,2019-2021
AM Fernando,4,47.0,9,156,4,2/44,2/44,0,0,SL,39.0,2019-2021
D Paterson,3,57.5,11,166,4,2/86,3/104,0,0,SA,41.5,2019-2021
NA Saini,4,41.5,5,172,4,2/54,4/119,0,0,INDIA,43.0,2019-2021
MD Shanaka,4,53.5,7,170,4,2/42,2/50,0,0,SL,42.5,2019-2021
OP Stone,2,22.4,6,68,4,3/47,4/68,0,0,ENG,17.0,2019-2021
Al-Amin Hossain,1,22.4,3,85,3,3/85,3/85,0,0,BDESH,28.33,2019-2021
TD Astle,2,40.0,1,152,3,2/111,3/152,0,0,NZ,50.67,2019-2021
MJ Henry,4,76.0,12,241,3,1/54,2/148,0,0,NZ,80.33,2019-2021
M Labuschagne,19,77.0,9,256,3,1/9,1/9,0,0,AUS,85.33,2019-2021
T Natarajan,2,38.2,7,119,3,3/78,3/119,0,0,INDIA,39.67,2019-2021
Rubel Hossain,1,25.5,3,113,3,3/113,3/113,0,0,BDESH,37.67,2019-2021
MJ Santner,8,118.3,13,378,3,2/52,2/59,0,0,NZ,126.0,2019-2021
JL Denly,8,49.0,10,162,2,2/42,2/42,0,0,ENG,81.0,2019-2021
Fawad Alam,2,13.0,0,51,2,2/46,2/46,0,0,PAK,25.5,2019-2021
CK Holder,1,26.0,1,110,2,2/110,2/110,0,0,WI,55.0,2019-2021
Kuldeep Yadav,2,12.2,2,41,2,2/25,2/41,0,0,INDIA,20.5,2019-2021
Mustafizur Rahman,2,28.0,5,117,2,2/46,2/117,0,0,BDESH,58.5,2019-2021
S Muthusamy,3,37.3,2,180,2,1/63,1/83,0,0,SA,90.0,2019-2021
C Overton,2,33.5,4,107,2,2/85,2/107,0,0,ENG,53.5,2019-2021
DL Piedt,3,54.0,7,310,2,1/101,1/101,0,0,SA,155.0,2019-2021
