stat,stat_label,rank,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100s,50s,Ducks,4s,6s,Balls,Overs,Mdns,Wkts,BBI,Econ,4w,5w,Team,Opposition,Ground,Match Date,Match ID,10w
best_bowling_innings,Best Bowling Figures (innings),14,MA Starc,,,1.0,,58,,,,,,,,,,,12.5,4.0,7.0,,4.51,,,Australia,v England,Perth,21 Nov 2025,2608.0,
best_bowling_innings,Best Bowling Figures (innings),15,Washington Sundar,,,1.0,,59,,,,,,,,,,,23.1,4.0,7.0,,2.54,,,India,v New Zealand,Pune,24 Oct 2024,2557.0,
best_bowling_innings,Best Bowling Figures (innings),16,SN Thakur,,,2.0,,61,,,,,,,,,,,17.5,3.0,7.0,,3.42,,,India,v South Africa,Johannesburg,3 Jan 2022,2445.0,
best_bowling_innings,Best Bowling Figures (innings),17,TW Hartley,,,4.0,,62,,,,,,,,,,,26.2,5.0,7.0,,2.35,,,England,v India,Hyderabad,25 Jan 2024,2525.0,
best_bowling_innings,Best Bowling Figures (innings),18,MJ Henry,,,2.0,,67,,,,,,,,,,,23.0,4.0,7.0,,2.91,,,New Zealand,v Australia,Christchurch,8 Mar 2024,2535.0,
best_bowling_innings,Best Bowling Figures (innings),19,S Joseph,,,4.0,,68,,,,,,,,,,,11.5,0.0,7.0,,5.74,,,West Indies,v Australia,Brisbane,25 Jan 2024,2524.0,
best_bowling_match,Best Bowling Figures (match),1,AY Patel,,,,,225,,,,,,,,,,,73.5,15.0,14.0,,3.04,,,New Zealand,v India,Wankhede,3 Dec 2021,2438.0,
best_bowling_match,Best Bowling Figures (match),2,MJ Santner,,,,,157,,,,,,,,,,,48.3,3.0,13.0,,3.23,,,New Zealand,v India,Pune,24 Oct 2024,2557.0,
best_bowling_match,Best Bowling Figures (match),3,AAP Atkinson,,,,,106,,,,,,,,,,,26.0,7.0,12.0,,4.07,,,England,v West Indies,Lord's,10 Jul 2024,2538.0,
best_bowling_match,Best Bowling Figures (match),4,Sajid Khan,,,,,128,,,,,,,,,,,47.4,12.0,12.0,,2.68,,,Pakistan,v Bangladesh,Mirpur,4 Dec 2021,2439.0,
best_bowling_match,Best Bowling Figures (match),5,R Ashwin,,,,,131,,,,,,,,,,,46.0,13.0,12.0,,2.84,,,India,v West Indies,Roseau,12 Jul 2023,2510.0,
best_bowling_match,Best Bowling Figures (match),6,NGRP Jayasuriya,,,,,177,,,,,,,,,,,52.0,5.0,12.0,,3.4,,,Sri Lanka,v Australia,Galle,8 Jul 2022,2471.0,
best_bowling_match,Best Bowling Figures (match),7,AR Patel,,,,,70,,,,,,,,,,,36.4,6.0,11.0,,1.9,,,India,v England,Ahmedabad,24 Feb 2021,2412.0,
best_bowling_match,Best Bowling Figures (match),8,M Jansen,,,,,86,,,,,,,,,,,28.3,6.0,11.0,,3.01,,,South Africa,v Sri Lanka,Durban,27 Nov 2024,2563.0,
best_bowling_match,Best Bowling Figures (match),9,NM Lyon,,,,,99,,,,,,,,,,,34.5,3.0,11.0,,2.84,,,Australia,v India,Indore,1 Mar 2023,2496.0,
