match_id,year,match_date,team1,team2,toss,winner,margin,player_of_match,ground,match_no,team1_avg_batting_ranking,team2_avg_batting_ranking,team1_avg_bowling_ranking,team2_avg_bowling_ranking,team1_total_cts_participated,team1_total_cts_won,team2_total_cts_participated,team2_total_cts_won,team1_wl_ratio_over_team2
CT-2004-44,2004,2004-09-17,England,Sri Lanka,"Sri Lanka, elected to field first",England,49 runs,Andrew Flintoff,Southampton,ODI # 2177,66.73,60.82,70.45,70.09,3,0,3,1,1.384
CT-2004-45,2004,2004-09-18,South Africa,West Indies,"West Indies, elected to field first",West Indies,5 wickets,Ramnaresh Sarwan,The Oval,ODI # 2178,53.0,68.29,68.45,78.64,3,1,3,0,2.1
CT-2004-46,2004,2004-09-19,India,Pakistan,"Pakistan, elected to field first",Pakistan,3 wickets,Mohammad Yousuf,Birmingham,ODI # 2179,65.5,58.08,70.58,68.83,3,1,3,0,0.589
CT-2004-47,2004,2004-09-21,England,Australia,"England, elected to field first",England,6 wickets,Michael Vaughan,Birmingham,ODI # 2180,65.55,51.75,70.36,62.0,3,0,3,0,0.704
CT-2004-48,2004,2004-09-22,Pakistan,West Indies,"Pakistan, elected to bat first",West Indies,7 wickets,Ramnaresh Sarwan,Southampton,ODI # 2181,57.75,67.71,67.83,78.14,3,0,3,0,0.805
CT-2004-49,2004,2004-09-25,England,West Indies,"West Indies, elected to field first",West Indies,2 wickets,Ian Bradshaw,The Oval,ODI # 2182,64.27,67.71,70.36,77.21,3,0,3,0,0.805
CT-2006-50,2006,2006-10-07,Bangladesh,Sri Lanka,"Bangladesh, elected to field first",Sri Lanka,37 runs,Upul Tharanga,Mohali,ODI # 2423,88.0,69.85,88.85,76.23,3,0,4,1,0.062
CT-2006-51,2006,2006-10-08,West Indies,Zimbabwe,"Zimbabwe, elected to bat first",West Indies,9 wickets,Chris Gayle,Ahmedabad,ODI # 2424,66.14,87.92,68.93,87.75,4,1,4,0,3.142
CT-2006-52,2006,2006-10-10,Sri Lanka,Zimbabwe,"Sri Lanka, elected to bat first",Sri Lanka,144 runs,Upul Tharanga,Ahmedabad,ODI # 2425,69.08,89.0,76.0,88.17,4,1,4,0,4.833
CT-2006-53,2006,2006-10-11,Bangladesh,West Indies,"Bangladesh, elected to bat first",West Indies,10 wickets,Chris Gayle,Jaipur,ODI # 2426,87.77,65.79,88.69,68.64,3,0,4,1,0.0
CT-2006-54,2006,2006-10-13,Bangladesh,Zimbabwe,"Zimbabwe, elected to field first",Bangladesh,101 runs,Shahriar Nafees,Jaipur,ODI # 2427,87.38,89.08,88.77,88.58,3,0,4,0,0.352
CT-2006-55,2006,2006-10-14,Sri Lanka,West Indies,"West Indies, elected to bat first",Sri Lanka,9 wickets,Farveez Maharoof,Brabourne,ODI # 2428,69.0,65.79,75.31,66.64,4,1,4,1,0.66
CT-2006-56,2006,2006-10-15,India,England,"India, elected to field first",India,4 wickets,Munaf Patel,Jaipur,ODI # 2429,63.33,68.58,75.13,70.5,4,1,4,0,1.115
CT-2006-57,2006,2006-10-16,New Zealand,South Africa,"South Africa, elected to field first",New Zealand,87 runs,Stephen Fleming,Brabourne,ODI # 2430,65.54,62.0,64.85,68.86,4,1,4,1,0.518
CT-2006-58,2006,2006-10-17,Pakistan,Sri Lanka,"Sri Lanka, elected to bat first",Pakistan,4 wickets,Abdul Razzaq,Jaipur,ODI # 2431,72.75,69.08,70.92,73.85,4,0,4,1,1.684
CT-2006-59,2006,2006-10-18,Australia,West Indies,"West Indies, elected to bat first",West Indies,10 runs,Runako Morton,Brabourne,ODI # 2432,60.0,65.86,60.08,67.21,4,0,4,1,0.91
CT-2006-60,2006,2006-10-20,New Zealand,Sri Lanka,"New Zealand, elected to bat first",Sri Lanka,7 wickets,Stephen Fleming,Brabourne,ODI # 2433,65.62,68.92,64.31,73.77,4,1,4,1,1.28
CT-2006-61,2006,2006-10-21,Australia,England,"Australia, elected to field first",Australia,6 wickets,Damien Martyn,Jaipur,ODI # 2434,60.75,68.83,60.25,70.25,4,0,4,0,1.382
CT-2006-62,2006,2006-10-24,South Africa,Sri Lanka,"Sri Lanka, elected to field first",South Africa,78 runs,Shaun Pollock,Ahmedabad,ODI # 2435,62.5,68.15,68.57,72.54,4,1,4,1,0.952
CT-2006-63,2006,2006-10-25,New Zealand,Pakistan,"Pakistan, elected to field first",New Zealand,51 runs,Stephen Fleming,Mohali,ODI # 2436,66.31,72.25,63.85,70.17,4,1,4,0,0.595
CT-2006-64,2006,2006-10-26,India,West Indies,"West Indies, elected to field first",West Indies,3 wickets,Shivnarine Chanderpaul,Ahmedabad,ODI # 2437,64.0,65.14,74.33,66.64,4,1,4,1,0.627
CT-2006-65,2006,2006-10-27,Pakistan,South Africa,"South Africa, elected to bat first",South Africa,124 runs,Makhaya Ntini,Mohali,ODI # 2438,72.08,61.93,69.58,68.71,4,0,4,1,0.464
CT-2006-66,2006,2006-10-28,England,West Indies,"West Indies, elected to bat first",England,3 wickets,Chris Gayle,Ahmedabad,ODI # 2439,68.25,65.07,70.0,66.5,4,0,4,1,2.625
CT-2006-67,2006,2006-10-29,India,Australia,"India, elected to bat first",Australia,6 wickets,Damien Martyn,Mohali,ODI # 2440,63.67,60.25,74.67,59.08,4,1,4,0,0.54
CT-2006-68,2006,2006-11-01,Australia,New Zealand,"New Zealand, elected to field first",Australia,34 runs,Glenn McGrath,Mohali,ODI # 2441,59.25,66.62,59.5,64.23,4,0,4,1,2.592
CT-2006-69,2006,2006-11-02,South Africa,West Indies,"South Africa, elected to bat first",West Indies,6 wickets,Chris Gayle,Jaipur,ODI # 2442,62.43,64.14,68.14,66.36,4,1,4,1,2.363
CT-2006-70,2006,2006-11-05,Australia,West Indies,"West Indies, elected to bat first",Australia,8 wickets,"Shane Watson
",Brabourne,ODI # 2443,59.58,64.21,59.67,65.21,4,0,4,1,0.91
CT-2009-71,2009,2009-09-22,South Africa,Sri Lanka,"South Africa, elected to field first",Sri Lanka,55 runs,Tillakaratne Dilshan,Centurion,ODI # 2893,68.2,74.73,82.0,76.33,5,1,5,1,1.047
CT-2009-72,2009,2009-09-23,Pakistan,West Indies,"West Indies, elected to bat first",Pakistan,5 wickets,Umar Akmal,Johannesburg,ODI # 2894,78.07,101.0,70.07,98.73,5,0,5,1,0.734
CT-2009-73,2009,2009-09-24,South Africa,New Zealand,"South Africa, elected to field first",South Africa,5 wickets,Wayne Parnell,Centurion,ODI # 2895,68.8,85.13,82.33,75.87,5,1,5,1,1.705
CT-2009-74,2009,2009-09-25,England,Sri Lanka,"England, elected to field first",England,6 wickets,Paul Collingwood,Johannesburg,ODI # 2896,82.33,74.53,80.93,75.87,5,0,5,1,0.789
CT-2009-75,2009,2009-09-26,Australia,West Indies,"West Indies, elected to field first",Australia,50 runs,Mitchell Johnson,Johannesburg,ODI # 2897,81.67,101.0,74.33,98.8,5,1,5,1,1.017
CT-2009-76,2009,2009-09-26,India,Pakistan,"Pakistan, elected to bat first",Pakistan,54 runs,Shoaib Malik,Centurion,ODI # 2898,74.67,77.07,82.87,69.07,5,1,5,0,0.661
CT-2009-77,2009,2009-09-27,South Africa,England,"England, elected to bat first",England,22 runs,Owais Shah,Centurion,ODI # 2900,68.27,81.33,80.53,80.33,5,1,5,0,1.466
