match_id,year,stage,match_number,match_date,ground,country,team1,team1_score,team1_wickets,team1_overs,team2,team2_score,team2_wickets,team2_overs,winner,win_margin,toss
ODIWC-1992-24,1992,Round,24,1992-03-10,"Basin Reserve, Wellington",New Zealand,India,197,10,49.4,West Indies,195,5,40.2,West Indies,5 wickets,India
ODIWC-1992-25,1992,Round,25,1992-03-10,"Manuka Oval, Canberra",Australia,Zimbabwe,163,10,48.3,South Africa,164,3,45.1,South Africa,7 wickets,South Africa
ODIWC-1992-26,1992,Round,26,1992-03-11,"Western Australia Cricket Association Ground, Perth",Australia,Pakistan,220,9,50.0,Australia,172,10,45.2,Pakistan,48 runs,Pakistan
ODIWC-1992-27,1992,Round,27,1992-03-12,"Carisbrook, Dunedin",New Zealand,India,230,6,50.0,New Zealand,231,6,47.1,New Zealand,4 wickets,New Zealand
ODIWC-1992-28,1992,Round,28,1992-03-12,Melbourne Cricket Ground,Australia,South Africa,236,4,50.0,England,226,7,40.5,England,3 wickets,England
ODIWC-1992-29,1992,Round,29,1992-03-13,Berri Oval,Australia,West Indies,268,8,50.0,Sri Lanka,177,9,50.0,West Indies,91 runs,Sri Lanka
ODIWC-1992-30,1992,Round,30,1992-03-14,"Bellerive Oval, Hobart",Australia,Australia,265,6,46.0,Zimbabwe,137,10,41.4,Australia,128 runs,Australia
ODIWC-1992-31,1992,Round,31,1992-03-15,"Basin Reserve, Wellington",New Zealand,England,200,8,50.0,New Zealand,201,3,40.5,New Zealand,7 wickets,New Zealand
ODIWC-1992-32,1992,Round,32,1992-03-15,Adelaide Oval,Australia,India,180,6,30.0,South Africa,181,4,29.1,South Africa,6 wickets,South Africa
ODIWC-1992-33,1992,Round,33,1992-03-15,"Western Australia Cricket Association Ground, Perth",Australia,Sri Lanka,212,6,50.0,Pakistan,216,6,49.1,Pakistan,4 wickets,Sri Lanka
ODIWC-1992-34,1992,Round,34,1992-03-18,"Lancaster Park, Christchurch",New Zealand,New Zealand,166,10,48.2,Pakistan,167,3,44.4,Pakistan,7 wickets,Pakistan
ODIWC-1992-35,1992,Round,35,1992-03-18,"Lavington Sports Oval, Albury",Australia,Zimbabwe,134,10,46.1,England,125,10,49.1,Zimbabwe,9 runs,England
ODIWC-1992-36,1992,Round,36,1992-03-18,Melbourne Cricket Ground,Australia,Australia,216,6,50.0,West Indies,159,10,42.4,Australia,57 runs,Australia
