raw_venue_string,venue_id,canonical_name,city,country
Hobart,40,Bellerive Oval,Hobart,Australia
Holkar Cricket Stadium,13,Holkar Cricket Stadium,Indore,India
"Holkar Stadium, Indore",13,Holkar Cricket Stadium,Indore,India
Hove,111,The 1st Central County Ground,Hove,England
Hyderabad,10,Rajiv Gandhi Intl. Cricket Stadium,Hyderabad,India
Hyderabad (Deccan),10,Rajiv Gandhi Intl. Cricket Stadium,Hyderabad,India
Hyderabad (Sind),125,Niaz Stadium,Hyderabad,Pakistan
ICC Academy,89,ICC Academy,Dubai,UAE
IS Bindra Stadium,9,IS Bindra Stadium,Mohali,India
"IS Bindra Stadium, Mohali",9,IS Bindra Stadium,Mohali,India
Indore,13,Holkar Cricket Stadium,Indore,India
Iqbal Stadium,117,Iqbal Stadium,Faisalabad,Pakistan
JB Marks Oval,42,JB Marks Oval,Potchefstroom,South Africa
JSCA International Cricket Stadium,43,JSCA International Cricket Stadium,Ranchi,India
JSCA International Stadium Complex,142,JSCA International Stadium Complex,Ranchi,India
"JSCA International Stadium, Ranchi",142,JSCA International Stadium Complex,Ranchi,India
Jaipur,3,Sawai Mansingh Stadium,Jaipur,India
Jinnah Stadium,118,Jinnah Stadium,Gujranwala,Pakistan
Johannesburg,22,New Wanderers Stadium,Johannesburg,South Africa
John Davies Oval,81,John Davies Oval,Queenstown,New Zealand
Kandy,102,Asgiriya Stadium,Kandy,Sri Lanka
Kanpur,90,Green Park,Kanpur,India
Karachi,124,National Stadium,Karachi,Pakistan
Kensington Oval,49,Kensington Oval,Bridgetown,West Indies
"Kensington Oval, Bridgetown",49,Kensington Oval,Bridgetown,West Indies
Khan Shaheb Osman Ali Stadium,86,Khan Shaheb Osman Ali Stadium,Fatullah,Bangladesh
Kimberley,23,De Beers Diamond Oval,Kimberley,South Africa
Kingsmead,19,Kingsmead,Durban,South Africa
"Kingsmead, Durban",19,Kingsmead,Durban,South Africa
Kingston,60,Sabina Park,Kingston,West Indies
Kingstown,60,Sabina Park,Kingston,West Indies
Kinrara Oval,97,Kinrara Oval,Kuala Lumpur,Malaysia
Lahore,114,Gaddafi Stadium,Lahore,Pakistan
Lal Bahadur Shastri Stadium,119,Lal Bahadur Shastri Stadium,Hyderabad,India
Lancaster Park,120,Lancaster Park,Christchurch,New Zealand
Lauderhill,139,Central Broward Regional Park Stadium Turf Ground,Lauderhill,USA
Lavington Sports Oval,121,Lavington Sports Oval,Albury,Australia
Leeds,55,Headingley,Leeds,England
Leicester,115,Grace Road,Leicester,England
Lord's,53,Lord's,London,England
"Lord's, London",53,Lord's,London,England
Lucknow,164,Bharat Ratna Shri Atal Bihari Vajpai Ekana Cricket Stadium,Lucknow,India
"M Chinnaswamy Stadium, Bengaluru",5,M. Chinnaswamy Stadium,Bengaluru,India
M. A. Chidambaram Stadium,1,M. A. Chidambaram Stadium,Chennai,India
"M. A. Chidambaram Stadium, Chennai",1,M. A. Chidambaram Stadium,Chennai,India
M. Chinnaswamy Stadium,5,M. Chinnaswamy Stadium,Bengaluru,India
"M. Chinnaswamy Stadium, Bengaluru",5,M. Chinnaswamy Stadium,Bengaluru,India
M.Chinnaswamy Stadium,141,M.Chinnaswamy Stadium,Bangalore,India
"MCG, Melbourne",39,Melbourne Cricket Ground,Melbourne,Australia
Mackay,128,Ray Mitchell Oval,Mackay,Australia
"Maharashtra CA Stadium, Pune",140,Maharashtra Cricket Association Stadium,Pune,India
Maharashtra Cricket Association Stadium,140,Maharashtra Cricket Association Stadium,Pune,India
Maharashtra Cricket Association's International Stadium,7,Maharashtra Cricket Association's International Stadium,Pune,India
Mahinda Rajapaksa International Cricket Stadium,25,Mahinda Rajapaksa International Cricket Stadium,Hambantota,Sri Lanka
Malahide,79,Malahide,Dublin,Ireland
Manchester,30,Old Trafford,Manchester,England
Mangaung Oval,45,Mangaung Oval,Bloemfontein,South Africa
Mannofield Park,64,Mannofield Park,Aberdeen,Scotland
Manuka Oval,44,Manuka Oval,Canberra,Australia
McLean Park,69,McLean Park,Napier,New Zealand
Melbourne,39,Melbourne Cricket Ground,Melbourne,Australia
Melbourne Cricket Ground,39,Melbourne Cricket Ground,Melbourne,Australia
"Melbourne Cricket Ground, Melbourne",39,Melbourne Cricket Ground,Melbourne,Australia
Mirpur,85,Sher-e-Bangla National Cricket Stadium,Mirpur,Bangladesh
Modi Stadium,122,Modi Stadium,Kanpur,India
Mohali,9,IS Bindra Stadium,Mohali,India
Moin-ul-Haq Stadium,123,Moin-ul-Haq Stadium,Patna,India
Moosa Stadium,172,Moosa Stadium,Pearland,
Multan Cricket Stadium,175,Multan Cricket Stadium,,
"Multan Cricket Stadium, Multan",175,Multan Cricket Stadium,,
Nagpur,16,Vidarbha Cricket Association Stadium,Nagpur,India
Nairobi (Gym),116,Gymkhana Club Ground,Nairobi,Kenya
Napier,69,McLean Park,Napier,New Zealand
Narendra Modi Stadium,15,Narendra Modi Stadium,Ahmedabad,India
"Narendra Modi Stadium, Ahmedabad",15,Narendra Modi Stadium,Ahmedabad,India
National Cricket Stadium,47,National Cricket Stadium,St George's,West Indies
"National Cricket Stadium, Grenada",47,National Cricket Stadium,St George's,West Indies
National Stadium,124,National Stadium,Karachi,Pakistan
"National Stadium, Karachi",124,National Stadium,Karachi,Pakistan
Nehru Stadium,36,Nehru Stadium,Kochi,India
Nelson,71,Saxton Oval,Nelson,New Zealand
New Cambusdoon Ground,174,New Cambusdoon Ground,Ayr,
New Plymouth,92,Pukekura Park,New Plymouth,New Zealand
New Wanderers Stadium,22,New Wanderers Stadium,Johannesburg,South Africa
New York,181,Nassau County International Cricket Stadium,New York,USA
Newlands,17,Newlands,Cape Town,South Africa
"Newlands, Cape Town",17,Newlands,Cape Town,South Africa
Niaz Stadium,125,Niaz Stadium,Hyderabad,Pakistan
North Sound,48,Sir Vivian Richards Stadium,North Sound,West Indies
Northampton,112,The County Ground,Northampton,England
Nottingham,52,Trent Bridge,Nottingham,England
OC Turf 1,162,OC Turf 1,Al Amarat,Oman
OC Turf 2,163,OC Turf 2,Al Amarat,Oman
Old Hararians Sports Club,158,Old Hararians Sports Club,Harare,Zimbabwe
Old Trafford,30,Old Trafford,Manchester,England
"Old Trafford, Manchester",30,Old Trafford,Manchester,England
Oman Cricket Academy Ground,165,Oman Cricket Academy Ground,Al Amerat,Oman
Paarl,41,Boland Park,Paarl,South Africa
Pallekele,26,Pallekele International Cricket Stadium,Pallekele,Sri Lanka
Pallekele International Cricket Stadium,26,Pallekele International Cricket Stadium,Pallekele,Sri Lanka
Patna,123,Moin-ul-Haq Stadium,Patna,India
Perth,34,WACA,Perth,Australia
Perth Stadium,157,Perth Stadium,Perth,Australia
"Perth Stadium, Perth",157,Perth Stadium,Perth,Australia
Peshawar,101,Arbab Niaz Stadium,Peshawar,Pakistan
Pietermaritzburg,108,City Oval,Pietermaritzburg,South Africa
Pindi Club Ground,126,Pindi Club Ground,Rawalpindi,Pakistan
Port of Spain,61,Queen's Park Oval,Port of Spain,West Indies
Potchefstroom,42,JB Marks Oval,Potchefstroom,South Africa
Providence,75,Providence Stadium,Providence,West Indies
Providence Stadium,75,Providence Stadium,Providence,West Indies
Pukekura Park,92,Pukekura Park,New Plymouth,New Zealand
Pune,7,Maharashtra Cricket Association's International Stadium,Pune,India
Punjab Cricket Association Stadium,156,Punjab Cricket Association Stadium,"Mohali, Chandigarh",India
Queen's Park Oval,61,Queen's Park Oval,Port of Spain,West Indies
"Queen's Park Oval, Port of Spain",61,Queen's Park Oval,Port of Spain,West Indies
Queens Sports Club,56,Queens Sports Club,Bulawayo,Zimbabwe
R Premadasa Stadium,24,R Premadasa Stadium,Colombo,Sri Lanka
R.Premadasa Stadium,170,R.Premadasa Stadium,Khettarama,
Rajiv Gandhi International Cricket Stadium,161,Rajiv Gandhi International Cricket Stadium,Dehradun,India
Rajiv Gandhi International Stadium,154,Rajiv Gandhi International Stadium,Hyderabad,India
"Rajiv Gandhi Intl Stadium, Hyderabad",10,Rajiv Gandhi Intl. Cricket Stadium,Hyderabad,India
Rajiv Gandhi Intl. Cricket Stadium,10,Rajiv Gandhi Intl. Cricket Stadium,Hyderabad,India
Rangiri Dambulla International Stadium,88,Rangiri Dambulla International Stadium,Dambulla,Sri Lanka
Rawalpindi,126,Pindi Club Ground,Rawalpindi,Pakistan
Rawalpindi Cricket Stadium,127,Rawalpindi Cricket Stadium,Rawalpindi,Pakistan
"Rawalpindi Cricket Stadium, Rawalpindi",127,Rawalpindi Cricket Stadium,Rawalpindi,Pakistan
Ray Mitchell Oval,128,Ray Mitchell Oval,Mackay,Australia
Reliance Cricket Stadium,129,Reliance Cricket Stadium,Vadodara,India
"SCG, Sydney",38,Sydney Cricket Ground,Sydney,Australia
Sabina Park,60,Sabina Park,Kingston,West Indies
"Sabina Park, Kingston",60,Sabina Park,Kingston,West Indies
"Saurashtra CA Stadium, Rajkot",35,Saurashtra Cricket Association Stadium,Rajkot,India
Saurashtra Cricket Association Stadium,35,Saurashtra Cricket Association Stadium,Rajkot,India
Sawai Mansingh Stadium,3,Sawai Mansingh Stadium,Jaipur,India
Saxton Oval,71,Saxton Oval,Nelson,New Zealand
Seddon Park,73,Seddon Park,Hamilton,New Zealand
"Seddon Park, Hamilton",73,Seddon Park,Hamilton,New Zealand
Shaheed Veer Narayan Singh International Cricket Stadium,177,Shaheed Veer Narayan Singh International Cricket Stadium,,
Sharjah,78,Sharjah Cricket Stadium,Sharjah,UAE
Sharjah Cricket Stadium,78,Sharjah Cricket Stadium,Sharjah,UAE
Sher-e-Bangla National Cricket Stadium,85,Sher-e-Bangla National Cricket Stadium,Mirpur,Bangladesh
"Sher-e-Bangla National Stadium, Mirpur",85,Sher-e-Bangla National Cricket Stadium,Mirpur,Bangladesh
"Sher-e-Bangla Stadium, Mirpur",85,Sher-e-Bangla National Cricket Stadium,Mirpur,Bangladesh
Sinhalese Sports Club Ground,98,Sinhalese Sports Club Ground,Colombo,Sri Lanka
Sir Vivian Richards Stadium,48,Sir Vivian Richards Stadium,North Sound,West Indies
"Sir Vivian Richards Stadium, Antigua",48,Sir Vivian Richards Stadium,North Sound,West Indies
"Sir Vivian Richards Stadium, North Sound",48,Sir Vivian Richards Stadium,North Sound,West Indies
Southampton,54,The Ageas Bowl,Southampton,England
Sportpark Het Schootsveld,66,Sportpark Het Schootsveld,Deventer,Netherlands
Sportpark Maarschalkerweerd,149,Sportpark Maarschalkerweerd,Utrecht,Netherlands
St George's,47,National Cricket Stadium,St George's,West Indies
St George's Park,18,St George's Park,Port Elizabeth,South Africa
"St George's Park, Gqeberha",18,St George's Park,Port Elizabeth,South Africa
St Helen's,130,St Helen's,Swansea,Wales
St Lawrence Ground,131,St Lawrence Ground,Canterbury,England
"SuperSport Park, Centurion",20,Supersport Park,Centurion,South Africa
Supersport Park,20,Supersport Park,Centurion,South Africa
Swansea,130,St Helen's,Swansea,Wales
Sydney,38,Sydney Cricket Ground,Sydney,Australia
Sydney Cricket Ground,38,Sydney Cricket Ground,Sydney,Australia
"Sydney Cricket Ground, Sydney",38,Sydney Cricket Ground,Sydney,Australia
Sylhet,87,Sylhet International Cricket Stadium,Sylhet,Bangladesh
Sylhet International Cricket Stadium,87,Sylhet International Cricket Stadium,Sylhet,Bangladesh
"Sylhet International Cricket Stadium, Sylhet",87,Sylhet International Cricket Stadium,Sylhet,Bangladesh
Takashinga Sports Club,179,Takashinga Sports Club,,
Tarouba,150,Brian Lara Stadium,Tarouba,Trinidad & Tobago
Taunton,180,"The County Ground, Taunton",Taunton,England
The 1st Central County Ground,111,The 1st Central County Ground,Hove,England
The Ageas Bowl,54,The Ageas Bowl,Southampton,England
The Cloudfm County Ground,109,The Cloudfm County Ground,Chelmsford,England
The County Ground,112,The County Ground,Northampton,England
The Gabba,32,The Gabba,Brisbane,Australia
"The Gabba, Brisbane",32,The Gabba,Brisbane,Australia
The Grange,146,The Grange,Edinburgh,Scotland
The Nevill Ground,132,The Nevill Ground,Tunbridge Wells,England
The Oval,51,The Oval,London ,England
"The Oval, London",51,The Oval,London ,England
The Village,144,The Village,Dublin,Ireland
"The Wanderers, Johannesburg",168,Wanderers,Windhoek,Namibia
Titwood,173,Titwood,Glasgow,
Tony Ireland Stadium,136,Tony Ireland Stadium,Townsville,Australia
Trent Bridge,52,Trent Bridge,Nottingham,England
"Trent Bridge, Nottingham",52,Trent Bridge,Nottingham,England
Tribhuvan University International Cricket Ground,167,Tribhuvan University International Cricket Ground,Kirtipur,Nepal
Tunbridge Wells,132,The Nevill Ground,Tunbridge Wells,England
United Cricket Club Ground,133,United Cricket Club Ground,Windhoek,Namibia
University Oval,72,University Oval,Dunedin,New Zealand
"VCA Stadium, Nagpur",11,HPCA Stadium,Dharamsala,India
VRA Cricket Ground,59,VRA Cricket Ground,Amstelveen,Netherlands
Vadodara,129,Reliance Cricket Stadium,Vadodara,India
Vidarbha Cricket Association Stadium,16,Vidarbha Cricket Association Stadium,Nagpur,India
Visakhapatnam,6,ACA-VDCA Stadium,Visakhapatnam,India
WACA,34,WACA,Perth,Australia
Wanderers,168,Wanderers,Windhoek,Namibia
Wanderers Cricket Ground,65,Wanderers Cricket Ground,Windhoek,Namibia
Wankhede,4,Wankhede Stadium,Mumbai,India
Wankhede Stadium,4,Wankhede Stadium,Mumbai,India
"Wankhede Stadium, Mumbai",4,Wankhede Stadium,Mumbai,India
Warner Park,100,Warner Park,Basseterre,West Indies
Wellington,70,Wellington Regional Stadium,Wellington,New Zealand
Wellington Regional Stadium,70,Wellington Regional Stadium,Wellington,New Zealand
West End Park International Cricket Stadium,169,West End Park International Cricket Stadium,Doha,Qatar
Westpac Stadium,82,Westpac Stadium,Wellington,New Zealand
Willowmoore Park,46,Willowmoore Park,Benoni,South Africa
"Windsor Park, Roseau",100,Warner Park,Basseterre,West Indies
Worcester,115,Grace Road,Leicester,England
YS Raja Reddy Stadium,178,YS Raja Reddy Stadium,Kadapa,
Zahur Ahmed Chowdhury Stadium,84,Zahur Ahmed Chowdhury Stadium,Chittagong,Bangladesh
"Zahur Ahmed Chowdhury Stadium, Chattogram",84,Zahur Ahmed Chowdhury Stadium,Chittagong,Bangladesh
Zayed Cricket Stadium,77,Zayed Cricket Stadium,Abu Dhabi,UAE
