match_id,year,match_date,team1,team2,winner,team1_score,team2_score,margin,ground,host_country,match_no,team1_avg_batting_ranking,team2_avg_batting_ranking,team1_avg_bowling_ranking,team2_avg_bowling_ranking,team1_total_wcs_participated,team1_total_wcs_won,team2_total_wcs_participated,team2_total_wcs_won,team1_win_pct_over_team2
T20WC-2021-182,2021,2021-10-18,Namibia,Sri Lanka,Sri Lanka,96 (19.3),100-3 (13.3),7 wickets,Abu Dhabi,UAE,T20I # 1313,93.67,96.5,95.8,91.79,0,0,6,1,0.0
T20WC-2021-183,2021,2021-10-19,PNG,Scotland,Scotland,148 (19.3),165-9 (20),17 runs,Al Amerat,UAE,T20I # 1318,95.07,85.93,97.8,87.07,0,0,3,0,0.0
T20WC-2021-184,2021,2021-10-19,Oman,Bangladesh,Bangladesh,127-9 (20),153 (20),26 runs,Al Amerat,UAE,T20I # 1322,93.73,85.73,92.4,83.07,1,0,6,0,0.0
T20WC-2021-185,2021,2021-10-20,Namibia,Netherlands,Namibia,166-4 (19),164-4 (20),6 wickets,Abu Dhabi,UAE,T20I # 1327,93.33,92.73,96.0,92.73,0,0,3,0,0.0
T20WC-2021-186,2021,2021-10-20,Ireland,Sri Lanka,Sri Lanka,101 (18.3),171-7 (20),70 runs,Abu Dhabi,UAE,T20I # 1331,89.6,96.57,93.0,92.5,5,0,6,1,100.0
T20WC-2021-187,2021,2021-10-21,Oman,Scotland,Scotland,122 (20),123-2 (17),8 wickets,Al Amerat,UAE,T20I # 1338,94.0,86.4,92.73,87.47,1,0,3,0,0.0
T20WC-2021-188,2021,2021-10-21,Bangladesh,PNG,Bangladesh,181-7 (20),97 (19.3),84 runs,Al Amerat,UAE,T20I # 1334,84.93,94.67,83.33,98.53,6,0,0,0,0.0
T20WC-2021-189,2021,2021-10-22,Ireland,Namibia,Namibia,125-8 (20),126-2 (18.3),8 wickets,Sharjah,UAE,T20I # 1342,90.53,93.0,93.93,95.4,5,0,0,0,100.0
T20WC-2021-190,2021,2021-10-22,Netherlands,Sri Lanka,Sri Lanka,44 (10),45-2 (7.1),8 wickets,Sharjah,UAE,T20I # 1346,92.87,96.71,92.8,92.71,3,0,6,1,0.0
T20WC-2021-191,2021,2021-10-23,Australia,South Africa,Australia,121-5 (19.4),118-9 (20),5 wickets,Abu Dhabi,UAE,T20I # 1351,84.78,71.6,79.44,84.73,6,0,6,0,61.9
T20WC-2021-192,2021,2021-10-23,England,West Indies,England,56-4 (8.2),55 (14.2),6 wickets,Dubai (DICS),UAE,T20I # 1354,72.47,84.13,76.07,90.33,6,1,6,2,38.88
T20WC-2021-193,2021,2021-10-24,Bangladesh,Sri Lanka,Sri Lanka,171-4 (20),172-5 (18.5),5 wickets,Sharjah,UAE,T20I # 1357,85.13,96.71,83.6,93.14,6,0,6,1,36.36
