stat,stat_label,rank,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100s,50s,Ducks,4s,6s,Balls,Overs,Mdns,Wkts,BBI,Econ,4w,5w,Team,Opposition,Ground,Match Date,Match ID,10w,Series
best_economy_innings,Best Economy Rate (innings),16,Majid Khan,,,,,11,,,,,,,,,,,11.0,4.0,1.0,,1.0,,,Pakistan,v Canada,Leeds,9 Jun 1979,ODI #64,,
best_economy_innings,Best Economy Rate (innings),17,RGD Willis,,,,,9,,,,,,,,,,,9.0,4.0,1.0,,1.0,,,England,v Sri Lanka,Leeds,20 Jun 1983,ODI #217,,
best_economy_innings,Best Economy Rate (innings),18,Wasim Raja,,,,,7,,,,,,,,,,,7.0,4.0,1.0,,1.0,,,Pakistan,v Sri Lanka,Nottingham,14 Jun 1975,ODI #30,,
best_economy_innings,Best Economy Rate (innings),19,CA Walsh,,,,,7,,,,,,,,,,,7.0,1.0,3.0,,1.0,,,West Indies,v Scotland,Leicester,27 May 1999,ODI #1465,,
best_economy_innings,Best Economy Rate (innings),20,WD Parnell,,,,,4,,,,,,,,,,,4.0,1.0,0.0,,1.0,,,South Africa,v Bangladesh,Mirpur,19 Mar 2011,ODI #3138,,
most_runs_conceded,Most Runs Conceded (innings),1,BFW de Leede,,,,,115,,,,,,,,,,,10.0,0.0,2.0,,11.5,,,Netherlands,v Australia,Delhi,25 Oct 2023,ODI #4681,,
most_runs_conceded,Most Runs Conceded (innings),2,Rashid Khan,,,,,110,,,,,,,,,,,9.0,0.0,0.0,,12.22,,,Afghanistan,v England,Manchester,18 Jun 2019,ODI #4163,,
most_runs_conceded,Most Runs Conceded (innings),3,LV van Beek,,,,,107,,,,,,,,,,,10.0,0.0,0.0,,10.7,,,Netherlands,v India,Bengaluru,12 Nov 2023,ODI #4702,,
most_runs_conceded,Most Runs Conceded (innings),4,MC Snedden,,,,,105,,,,,,,,,,,12.0,1.0,2.0,,8.75,,,New Zealand,v England,The Oval,9 Jun 1983,ODI #197,,
most_runs_conceded,Most Runs Conceded (innings),5,JO Holder,,,,,104,,,,,,,,,,,10.0,2.0,1.0,,10.4,,,West Indies,v South Africa,Sydney,27 Feb 2015,ODI #3616,,
most_runs_conceded,Most Runs Conceded (innings),6,Dawlat Zadran,,,,,101,,,,,,,,,,,10.0,1.0,2.0,,10.1,,,Afghanistan,v Australia,W.A.C.A,4 Mar 2015,ODI #3623,,
most_runs_conceded,Most Runs Conceded (innings),7,TG Southee,,,,,100,,,,,,,,,,,10.0,0.0,3.0,,10.0,,,New Zealand,v India,Wankhede,15 Nov 2023,ODI #4703,,
most_runs_conceded,Most Runs Conceded (innings),8,ALF de Mel,,,,,97,,,,,,,,,,,10.0,0.0,1.0,,9.7,,,Sri Lanka,v West Indies,Karachi,13 Oct 1987,ODI #457,,
most_runs_conceded,Most Runs Conceded (innings),9,RDM Leverock,,,,,96,,,,,,,,,,,10.0,0.0,1.0,,9.6,,,Bermuda,v India,Port of Spain,19 Mar 2007,ODI #2542,,
most_runs_conceded,Most Runs Conceded (innings),10,AD Russell,,,,,96,,,,,,,,,,,10.0,0.0,2.0,,9.6,,,West Indies,v New Zealand,Wellington,21 Mar 2015,ODI #3643,,
most_runs_conceded,Most Runs Conceded (innings),11,KJ O'Brien,,,,,95,,,,,,,,,,,7.0,0.0,1.0,,13.57,,,Ireland,v South Africa,Canberra,3 Mar 2015,ODI #3621,,
most_runs_conceded,Most Runs Conceded (innings),12,M Pathirana,,,,,95,,,,,,,,,,,10.0,0.0,1.0,,9.5,,,Sri Lanka,v South Africa,Delhi,7 Oct 2023,ODI #4661,,
most_runs_conceded,Most Runs Conceded (innings),13,M Jansen,,,,,94,,,,,,,,,,,9.4,0.0,1.0,,9.72,,,South Africa,v India,Eden Gardens,5 Nov 2023,ODI #4694,,
most_runs_conceded,Most Runs Conceded (innings),14,RJ van Vuuren,,,,,92,,,,,,,,,,,10.0,0.0,0.0,,9.2,,,Namibia,v Australia,Potchefstroom,27 Feb 2003,ODI #1970,,
most_runs_conceded,Most Runs Conceded (innings),15,M Jansen,,,,,92,,,,,,,,,,,10.0,0.0,2.0,,9.2,,,South Africa,v Sri Lanka,Delhi,7 Oct 2023,ODI #4661,,
most_runs_conceded,Most Runs Conceded (innings),16,JM Anderson,,,,,91,,,,,,,,,,,9.5,0.0,1.0,,9.25,,,England,v India,Bengaluru,27 Feb 2011,ODI #3110,,
most_runs_conceded,Most Runs Conceded (innings),17,KJ O'Brien,,,,,90,,,,,,,,,,,10.0,0.0,2.0,,9.0,,,Ireland,v Zimbabwe,Hobart,7 Mar 2015,ODI #3627,,
most_runs_conceded,Most Runs Conceded (innings),18,CAK Rajitha,,,,,90,,,,,,,,,,,10.0,1.0,1.0,,9.0,,,Sri Lanka,v South Africa,Delhi,7 Oct 2023,ODI #4661,,
most_runs_conceded,Most Runs Conceded (innings),19,M Pathirana,,,,,90,,,,,,,,,,,9.0,0.0,1.0,,10.0,,,Sri Lanka,v Pakistan,Hyderabad,10 Oct 2023,ODI #4665,,
most_runs_conceded,Most Runs Conceded (innings),20,Shaheen Shah Afridi,,,,,90,,,,,,,,,,,10.0,0.0,0.0,,9.0,,,Pakistan,v New Zealand,Bengaluru,4 Nov 2023,ODI #4692,,
most_five_wicket_hauls,Most Five-Wicket Hauls (career),1,Mohammed Shami (IND),2015-2023,18.0,18.0,,744,,13.52,,15.81,,,,,,870.0,145.0,13.0,55.0,7/57,5.13,4.0,4.0,,,,,,0.0,
