stat,stat_label,rank,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100s,50s,Ducks,4s,6s,Balls,Overs,Mdns,Wkts,BBI,Econ,4w,5w,Team,Opposition,Ground,Match Date,Match ID,10w,Series
best_economy_innings,Best Economy Rate (innings),2,HMRKB Herath,,,,,3,,,,,,,,,,,3.3,2.0,5.0,,0.85,,,Sri Lanka,v New Zealand,Chattogram,31 Mar 2014,T20I #395,,
best_economy_innings,Best Economy Rate (innings),3,F Nsubuga,,,,,4,,,,,,,,,,,4.0,2.0,2.0,,1.0,,,Uganda,v P.N.G.,Providence,5 Jun 2024,T20I #2640,,
best_economy_innings,Best Economy Rate (innings),4,TG Southee,,,,,4,,,,,,,,,,,4.0,1.0,3.0,,1.0,,,New Zealand,v Uganda,Tarouba,14 Jun 2024,T20I #2682,,
best_economy_innings,Best Economy Rate (innings),5,B Kumar,,,,,3,,,,,,,,,,,3.0,0.0,0.0,,1.0,,,India,v West Indies,Mirpur,23 Mar 2014,T20I #382,,
best_economy_innings,Best Economy Rate (innings),6,SMSM Senanayake,,,,,3,,,,,,,,,,,3.0,0.0,2.0,,1.0,,,Sri Lanka,v New Zealand,Chattogram,31 Mar 2014,T20I #395,,
best_economy_innings,Best Economy Rate (innings),7,A Nortje,,,,,7,,,,,,,,,,,4.0,0.0,4.0,,1.75,,,South Africa,v Sri Lanka,New York,3 Jun 2024,T20I #2635,,
best_economy_innings,Best Economy Rate (innings),8,TA Boult,,,,,7,,,,,,,,,,,4.0,1.0,2.0,,1.75,,,New Zealand,v Uganda,Tarouba,14 Jun 2024,T20I #2682,,
best_economy_innings,Best Economy Rate (innings),9,Mustafizur Rahman,,,,,7,,,,,,,,,,,4.0,1.0,3.0,,1.75,,,Bangladesh,v Nepal,Kingstown,16 Jun 2024,T20I #2698,,
best_economy_innings,Best Economy Rate (innings),10,Tanzim Hasan Sakib,,,,,7,,,,,,,,,,,4.0,2.0,4.0,,1.75,,,Bangladesh,v Nepal,Kingstown,16 Jun 2024,T20I #2698,,
best_economy_innings,Best Economy Rate (innings),11,JJ Bumrah,,,,,7,,,,,,,,,,,4.0,1.0,3.0,,1.75,,,India,v Afghanistan,Bridgetown,20 Jun 2024,T20I #2710,,
best_economy_innings,Best Economy Rate (innings),12,Mohammad Nabi,,,,,7,,,,,,,,,,,4.0,0.0,4.0,,1.75,,,Afghanistan,v Canada,Chennai,19 Feb 2026,T20I #3726,,
best_economy_innings,Best Economy Rate (innings),13,BAW Mendis,,,,,8,,,,,,,,,,,4.0,2.0,6.0,,2.0,,,Sri Lanka,v Zimbabwe,Hambantota,18 Sep 2012,T20I #263,,
best_economy_innings,Best Economy Rate (innings),14,Mahmudullah,,,,,8,,,,,,,,,,,4.0,1.0,1.0,,2.0,,,Bangladesh,v Afghanistan,Mirpur,16 Mar 2014,T20I #366,,
best_economy_innings,Best Economy Rate (innings),15,PW Hasaranga,,,,,8,,,,,,,,,,,4.0,1.0,3.0,,2.0,,,Sri Lanka,v U.A.E.,Geelong,18 Oct 2022,T20I #1832,,
best_economy_innings,Best Economy Rate (innings),16,Imad Wasim,,,,,8,,,,,,,,,,,4.0,0.0,3.0,,2.0,,,Pakistan,v Ireland,Lauderhill,16 Jun 2024,T20I #2697,,
best_economy_innings,Best Economy Rate (innings),17,Umar Gul,,,,,6,,,,,,,,,,,3.0,0.0,5.0,,2.0,,,Pakistan,v New Zealand,The Oval,13 Jun 2009,T20I #107,,
best_economy_innings,Best Economy Rate (innings),18,DW Steyn,,,,,6,,,,,,,,,,,3.0,0.0,2.0,,2.0,,,South Africa,v Afghanistan,Bridgetown,5 May 2010,T20I #162,,
best_economy_innings,Best Economy Rate (innings),19,SR Patel,,,,,6,,,,,,,,,,,3.0,0.0,2.0,,2.0,,,England,v Afghanistan,Colombo (RPS),21 Sep 2012,T20I #268,,
best_economy_innings,Best Economy Rate (innings),20,MD Shanaka,,,,,6,,,,,,,,,,,3.0,1.0,1.0,,2.0,,,Sri Lanka,v South Africa,New York,3 Jun 2024,T20I #2635,,
most_runs_conceded,Most Runs Conceded (innings),1,SN Netravalkar,,,,,65,,,,,,,,,,,4.0,0.0,0.0,,16.25,,,U.S.A.,v India,Wankhede,7 Feb 2026,T20I #3686,,
most_runs_conceded,Most Runs Conceded (innings),2,ST Jayasuriya,,,,,64,,,,,,,,,,,4.0,0.0,0.0,,16.0,,,Sri Lanka,v Pakistan,Johannesburg,17 Sep 2007,T20I #35,,
most_runs_conceded,Most Runs Conceded (innings),3,CV Varun,,,,,64,,,,,,,,,,,4.0,0.0,1.0,,16.0,,,India,v England,Wankhede,5 Mar 2026,T20I #3752,,
most_runs_conceded,Most Runs Conceded (innings),4,Mashrafe Mortaza,,,,,63,,,,,,,,,,,4.0,0.0,0.0,,15.75,,,Bangladesh,v Pakistan,Mirpur,30 Mar 2014,T20I #392,,
most_runs_conceded,Most Runs Conceded (innings),5,R Ngarava,,,,,62,,,,,,,,,,,4.0,0.0,1.0,,15.5,,,Zimbabwe,v India,Chennai,26 Feb 2026,T20I #3741,,
most_runs_conceded,Most Runs Conceded (innings),6,LN Onyango,,,,,61,,,,,,,,,,,4.0,0.0,0.0,,15.25,,,Kenya,v Sri Lanka,Johannesburg,14 Sep 2007,T20I #27,,
most_runs_conceded,Most Runs Conceded (innings),7,JC Archer,,,,,61,,,,,,,,,,,4.0,0.0,1.0,,15.25,,,England,v India,Wankhede,5 Mar 2026,T20I #3752,,
most_runs_conceded,Most Runs Conceded (innings),8,SCJ Broad,,,,,60,,,,,,,,,,,4.0,0.0,0.0,,15.0,,,England,v India,Durban,19 Sep 2007,T20I #40,,
most_runs_conceded,Most Runs Conceded (innings),9,MA Starc,,,,,60,,,,,,,,,,,4.0,0.0,0.0,,15.0,,,Australia,v New Zealand,Dubai (DICS),14 Nov 2021,T20I #1428,,
most_runs_conceded,Most Runs Conceded (innings),10,Sufyan Mehmood,,,,,60,,,,,,,,,,,4.0,0.0,1.0,,15.0,,,Oman,v Sri Lanka,Pallekele,12 Feb 2026,T20I #3701,,
most_runs_conceded,Most Runs Conceded (innings),11,Naveen-ul-Haq,,,,,59,,,,,,,,,,,4.0,0.0,0.0,,14.75,,,Afghanistan,v India,Abu Dhabi,3 Nov 2021,T20I #1390,,
most_runs_conceded,Most Runs Conceded (innings),12,BJ McCarthy,,,,,59,,,,,,,,,,,4.0,0.0,0.0,,14.75,,,Ireland,v Scotland,Hobart,19 Oct 2022,T20I #1833,,
most_runs_conceded,Most Runs Conceded (innings),13,MR Adair,,,,,59,,,,,,,,,,,4.0,0.0,0.0,,14.75,,,Ireland,v Australia,Brisbane,31 Oct 2022,T20I #1855,,
most_runs_conceded,Most Runs Conceded (innings),14,NN Odhiambo,,,,,57,,,,,,,,,,,4.0,0.0,1.0,,14.25,,,Kenya,v Sri Lanka,Johannesburg,14 Sep 2007,T20I #27,,
most_runs_conceded,Most Runs Conceded (innings),15,Joginder Sharma,,,,,57,,,,,,,,,,,4.0,0.0,0.0,,14.25,,,India,v England,Durban,19 Sep 2007,T20I #40,,
