cycle,ground,matches_hosted,country
2021-2023,"St George's Park, Gqeberha",1,South Africa
2021-2023,Antigua,1,West Indies
2021-2023,"Old Trafford, Manchester",1,England
2021-2023,Perth Stadium,1,Australia
2021-2023,Multan Cricket Stadium,1,Pakistan
2021-2023,"VCA Stadium, Nagpur",1,India
2021-2023,"Arun Jaitley Stadium, Delhi",1,India
2021-2023,"Holkar Stadium, Indore",1,India
2021-2023,"Narendra Modi Stadium, Ahmedabad",1,India
2021-2023,"Basin Reserve, Wellington",1,New Zealand
2023-2025,"Galle International Stadium, Galle",6,Sri Lanka
2023-2025,"Lord's, London",4,England
2023-2025,"Multan Cricket Stadium, Multan",4,Pakistan
2023-2025,"Rawalpindi Cricket Stadium, Rawalpindi",3,Pakistan
2023-2025,"Adelaide Oval, Adelaide",2,Australia
2023-2025,"Basin Reserve, Wellington",2,New Zealand
2023-2025,"Edgbaston, Birmingham",2,England
2023-2025,"Hagley Oval, Christchurch",2,New Zealand
2023-2025,"Kingsmead, Durban",2,South Africa
2023-2025,"Melbourne Cricket Ground, Melbourne",2,Australia
2023-2025,"Newlands, Cape Town",2,South Africa
2023-2025,"Old Trafford, Manchester",2,England
2023-2025,"Perth Stadium, Perth",2,Australia
2023-2025,"Seddon Park, Hamilton",2,New Zealand
2023-2025,"St George's Park, Gqeberha",2,South Africa
2023-2025,"SuperSport Park, Centurion",2,South Africa
2023-2025,"Sydney Cricket Ground, Sydney",2,Australia
2023-2025,"Sylhet International Cricket Stadium, Sylhet",2,Bangladesh
2023-2025,"The Gabba, Brisbane",2,Australia
2023-2025,"The Oval, London",2,England
2023-2025,"ACA-VDCA Stadium, Visakhapatnam",1,India
2023-2025,"Absa Stadium, East London",1,South Africa
2023-2025,"Bay Oval, Mount Maunganui",1,New Zealand
2023-2025,"Chief Mangope Stadium, Mahikeng",1,South Africa
2023-2025,"Green Park Stadium, Kanpur",1,India
2023-2025,"HPCA Stadium, Dharamsala",1,India
2023-2025,"Headingley, Leeds",1,England
2023-2025,"JSCA International Stadium, Ranchi",1,India
2023-2025,"M. A. Chidambaram Stadium, Chennai",1,India
2023-2025,"M. Chinnaswamy Stadium, Bengaluru",1,India
2023-2025,"Maharashtra CA Stadium, Pune",1,India
2023-2025,"Queen's Park Oval, Port of Spain",1,West Indies
2023-2025,"Rajiv Gandhi Intl Stadium, Hyderabad",1,India
2023-2025,"Sabina Park, Kingston",1,West Indies
2023-2025,"Saurashtra CA Stadium, Rajkot",1,India
2023-2025,"Sher-e-Bangla National Stadium, Mirpur",1,Bangladesh
2023-2025,"Sir Vivian Richards Stadium, North Sound",1,West Indies
2023-2025,"Trent Bridge, Nottingham",1,England
2023-2025,"Wankhede Stadium, Mumbai",1,India
2023-2025,"Windsor Park, Roseau",1,West Indies
2023-2025,"Zahur Ahmed Chowdhury Stadium, Chattogram",1,Bangladesh
